Время;Температура охлаждающей жидкости (°C);Соотношение воздух/топливо;Положение дроссельной заслонки (%);Обороты двигателя (об/мин);Обороты холостого хода (об/мин);Желаемое положение регулятора холостого хода (шаг);Текущее положение регулятора ХХ (шаг);Коэффициент коррекции длительности впрыска топлива;Угол опережения зажигания (°ПКВ);Скорость автомобиля (км\ч);Напряжение бортсети (В);Желаемые обороты холостого хода (об\мин);Напряжение на датчике кислорода (В);Длительность импульса впрыска (мсек);Массовый расход воздуха (кг\ч);Цикловой расход воздуха (мг\такт);Часовой расход топлива (л\час);Путевой расход топлива (л\100км);Контрольная сумма ПЗУ (hех);Флаг готовности датчика кислорода;Флаг разрешения нагрева датчика кислорода;Флаг комплектации датчиком кислорода;Флаг комплектации адсорбером;Флаг комплектации клапаном рециркуляции;Флаг комплектации датчиком температуры воздуха;Флаг комплектации датчиком детонации;Флаг комплектации датчиком фазы;Флаг запрещения отсечки топлива;Флаг разрешения адаптации уставки холостого хода;Флаг комплектации потенциометром корректировки СО;Флаг разрешения адаптации нуля дросселя;Флаг разрешения асинхронной подачи топлива на пуске;Флаг разрешения постоянного хранения ошибок;Флаг комплектации датчиком скорости автомобиля;Флаг разрешения одновременного впрыска;Флаг разрешения асинхронного впрыска при ускорении;Флаг выключения двигателя;Флаг холостого хода;Флаг обогащения по мощности;Флаг блокировки подачи топлива;Флаг зоны регулирования по датчику кислорода;Флаг попадания в зону детонации;Флаг продувки адсорбера;Флаг сохранения результатов обучения по датчику кислорода;Флаг наличия холостого хода в прошлом цикле вычислений;Флаг разрешения блокировки выхода из режима холостого хода;Флаг попадания в зону детонации в прошлом цикле вычислений;Флаг продувки адсорбера в прошлом цикле вычислений;Флаг Обнаружена детонация;Флаг прошлого состояния датчика кислорода;Флаг текущего состояния датчика кислорода;Флаг Ошибка датчика синхронизации КВ;Флаг ошибка EEPROM;Флаг Ошибка нагревателя датчика кислорода;Флаг Ошибка датчика фазы;Флаг ошибка сброса процесора;Флаг ошибка ОЗУ;Флаг ошибка ПЗУ;Флаг Низкое бортовое напряжение;Флаг Низкий уровень сигнала с датчика температуры охлаждающей жидкости;Флаг Низкий уровень сигнала с кислородного датчика;Флаг Низкий уровень сигнала датчика положения дроссельной заслонки;Флаг Низкий уровень сигнала датчика массового расхода воздуха;Флаг Низкий уровень шума двигателя;Флаг Высокое бортовое напряжение;Флаг Высокий уровень сигнала с кислородного датчика;Флаг Высокий уровень сигнала с датчика температуры охлаждающей жидкости;Флаг Высокий уровень сигнала датчика положения дроссельной заслонки;Флаг Высокий уровень сигнала датчика массового расхода воздуха;Флаг Высокий уровень шума двигателя;Флаг Обрыв датчика детонации;Флаг Нет связи с иммобилайзером;Флаг Нет активности датчика кислорода;Флаг Нет отклика датчика кислорода при обеднении;Флаг Нет отклика датчика кислорода при обогащении;Флаг Ошибка датчика скорости;Флаг Ошибка регулятора холостого хода;АЦП канала датчика детонации (В);АЦП Датчик температуры охлаждающей жидкости (В);АЦП Датчик массового расхода воздуха (В);АЦП Бортовое напряжение (В);АЦП Датчик кислорода (В);АЦП Датчик положения дроссельной заслонки (В);Время (сек)
0.11;77;12.9;0;1200;1210;67;67;1;11.5;0;10.55;900;0.469;6.264;14.9;102.2;1.46;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;3.14;0.72;1.37;10.636;1.95;0.59;3.2
0.12;77;12.9;0;1200;1210;67;67;1;11.5;0;10.55;900;0.469;6.264;14.9;102.2;1.46;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;3.14;0.72;1.37;10.636;1.95;0.59;3.5
0.13;77;12.9;0;1800;1800;66;66;1;11.5;0;12.65;900;0.469;5.376;16.1;79.5;1.72;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;3.14;0.72;1.37;10.636;1.95;0.59;3.7
0.14;77;12.9;0;1800;1800;66;66;1;11.5;0;12.65;900;0.469;5.376;16.1;79.5;1.72;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.57;0.7;1.37;13.455;1.95;0.59;3.8
0.15;77;12.9;0;1680;1670;66;66;1;11.5;0;13.15;900;0.508;5.04;16.1;85.3;1.72;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.57;0.7;1.37;13.455;1.95;0.59;3.9
0.16;77;12.9;0;1680;1670;66;66;1;11.5;0;13.15;900;0.508;5.04;16.1;85.3;1.72;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;1.13;0.7;1.37;13.455;2.03;0.59;4
0.17;78;12.9;0;1400;1400;66;66;1;11;0;13.3;900;0.508;4.768;16.3;100.5;1.68;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;1.13;0.7;1.37;13.455;2.03;0.59;4.2
0.18;78;12.9;0;1400;1400;66;66;1;11;0;13.3;900;0.508;4.768;16.3;100.5;1.68;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.94;0.68;1.5;13.364;2.03;0.55;4.3
0.19;78;12.9;0;1480;1470;66;66;1;11;0;13.4;900;0.508;4.496;16.4;97;1.72;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.94;0.68;1.5;13.364;2.03;0.55;4.4
0.2;78;12.9;0;1480;1470;66;66;1;11;0;13.4;900;0.508;4.496;16.4;97;1.72;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.49;0.7;1.41;13.455;2.11;0.57;4.6
0.21;78;12.9;0;1520;1520;65;65;1;11;0;13.4;900;0.508;4.184;15.8;92.2;1.68;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.49;0.7;1.41;13.455;2.11;0.57;4.7
0.22;78;12.9;0;1520;1520;65;65;1;11;0;13.4;900;0.508;4.184;15.8;92.2;1.68;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.51;0.7;1.5;13.546;2.11;0.57;4.8
0.23;78;12.9;0;1520;1510;65;65;1;11;0;13.5;900;0.547;3.896;16;92.5;1.68;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.51;0.7;1.5;13.546;2.11;0.57;5
0.24;78;12.9;0;1520;1510;65;65;1;11;0;13.5;900;0.547;3.896;16;92.5;1.68;511.99;255;нет;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.51;0.7;1.5;13.546;2.11;0.57;5.2
0.25;78;12.9;0;1440;1440;64;64;1;11;0;13.6;900;0.527;3.888;15.8;95.5;1.62;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.51;0.7;1.5;13.546;2.11;0.57;5.4
0.26;78;12.9;0;1440;1440;64;64;1;11;0;13.6;900;0.527;3.888;15.8;95.5;1.62;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.78;0.72;1.45;13.636;2.19;0.59;5.5
0.27;78;12.9;0;1400;1410;63;63;1;11;0;13.6;900;0.547;3.864;15.3;94.7;1.6;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.78;0.72;1.45;13.636;2.19;0.59;5.6
0.28;78;12.9;0;1400;1410;63;63;1;11;0;13.6;900;0.547;3.864;15.3;94.7;1.6;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;5.8
0.29;77;12.9;0;1360;1360;63;63;1;11.5;0;13.6;900;0.547;4.048;15.7;99.5;1.62;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;5.9
0.3;77;12.9;0;1360;1360;63;63;1;11.5;0;13.6;900;0.547;4.048;15.7;99.5;1.62;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;6
0.31;77;12.9;0;1360;1350;64;64;1;11.5;0;13.6;900;0.547;3.888;14.9;95.2;1.56;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;6.2
0.32;77;12.9;0;1360;1350;64;64;1;11.5;0;13.6;900;0.547;3.888;14.9;95.2;1.56;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;6.5
0.33;77;12.9;0;1360;1350;64;64;1;11.5;0;13.6;900;0.547;3.888;14.9;95.2;1.56;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;6.6
0.34;77;12.9;0;1360;1350;64;64;1;11.5;0;13.6;900;0.547;3.888;14.9;95.2;1.56;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;7
0.35;78;14;0;1160;1180;63;63;1;11;0;13.6;900;0.566;4.032;14.8;106.7;1.38;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;7.2
0.36;78;14;0;1160;1180;63;63;1;11;0;13.6;900;0.566;4.032;14.8;106.7;1.38;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;7.5
0.37;78;14;0;1160;1180;63;63;1;11;0;13.6;900;0.566;4.032;14.8;106.7;1.38;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;7.6
0.38;78;14;0;1160;1180;63;63;1;11;0;13.6;900;0.566;4.032;14.8;106.7;1.38;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;8.1
0.39;78;14;0;1120;1120;60;60;1;11;0;13.6;900;0.527;4.032;14.1;105.7;1.3;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;8.2
0.4;78;14;0;1120;1110;59;59;1;11;0;13.6;900;0.547;4.016;13.9;105;1.3;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;8.4
0.41;78;14;0;1120;1100;59;59;1;11;0;13.6;900;0.547;4.112;14.2;107.8;1.34;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;да;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;8.5
0.42;78;14;0;1120;1100;57;57;1;11;0;13.6;900;0.547;3.936;13.7;102.5;1.26;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;8.6
0.43;78;14;0;1120;1100;57;57;1;11;0;13.6;900;0.547;3.936;13.7;102.5;1.26;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;8.9
0.44;78;14;0;1120;1100;57;57;1;11;0;13.6;900;0.547;3.936;13.7;102.5;1.26;511.99;255;да;да;да;да;нет;да;да;да;нет;нет;нет;да;нет;нет;да;нет;нет;нет;да;нет;нет;нет;нет;да;нет;да;нет;нет;нет;нет;нет;да;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;нет;0.86;0.72;1.33;13.636;2.19;0.59;9
